model_type,model_label,dataset,class,f1,f1_ci_lo,f1_ci_hi,auc,auc_ci_lo,auc_ci_hi
swin_unetr,SwinUNETR (3D),Lung-PET-CT-Dx (test),Adenocarcinoma,0.7272727272727273,0.6283976833976834,0.8148148148148148,,,
swin_unetr,SwinUNETR (3D),Lung-PET-CT-Dx (test),Small Cell,0.1818181818181818,0.0,0.46153846153846156,,,
swin_unetr,SwinUNETR (3D),Lung-PET-CT-Dx (test),Squamous,0.2222222222222222,0.0,0.5,,,
swin_unetr,SwinUNETR (3D),BigLunge (test),Adenocarcinoma,0.3076923076923077,0.08,0.5333333333333333,0.45416666666666666,0.2791145833333333,0.6375
swin_unetr,SwinUNETR (3D),BigLunge (test),Small Cell,0.375,0.18735795454545456,0.5806451612903226,0.546875,0.375,0.7232700892857143
swin_unetr,SwinUNETR (3D),BigLunge (test),Squamous,0.29411764705882354,0.1142063492063492,0.47368421052631576,0.48750000000000004,0.3041666666666667,0.6520833333333333
