epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,3.2170078425571837,0.32253501346550656,0.08888888888888889,0.08888888888888889,4.356967443121602,0.16831683168316833,0.2883986928104575,1e-06,,0.2,True,0,3,patient,2026-04-29T07:48:09
2,2.781510488740329,0.3603473338569731,0.2023809523809524,0.14563492063492064,2.418311296225201,0.38613861386138615,0.28540305010893247,3.4000000000000007e-05,,0.2,True,0,3,patient,2026-04-29T07:48:21
3,2.281356418954915,0.4172831429766937,0.27224627224627224,0.18783870450537118,2.04125183229228,0.40594059405940597,0.24972766884531591,6.700000000000002e-05,,0.2,True,0,3,patient,2026-04-29T07:48:32
4,1.9474274248912418,0.46274879438920175,0.47963281698221455,0.3180866805364797,1.6509746607326672,0.6633663366336634,0.423202614379085,0.0001,,0.2,True,0,3,patient,2026-04-29T07:48:44
5,1.6024521527619198,0.5350157027501815,0.5176402544823597,0.42317311457028217,1.454104634641691,0.6633663366336634,0.4613289760348584,9.966191788709716e-05,,0.2,True,0,3,patient,2026-04-29T07:48:56
6,1.5030319690704346,0.5639000135536585,0.4266291608063759,0.4746340774236501,1.3093045777036945,0.6831683168316832,0.47739651416122003,9.86522435289912e-05,,0.2,True,0,3,patient,2026-04-29T07:49:08
7,1.3721954041513904,0.5641983185512252,0.4315068493150685,0.458592088201268,1.3164930974557503,0.6633663366336634,0.5362200435729848,9.698463103929544e-05,,0.2,True,0,3,patient,2026-04-29T07:49:20
8,1.1983573642270318,0.6037085132064468,0.5106830968899935,0.4562730356704792,1.4131678424718725,0.5346534653465347,0.5590958605664488,9.468163201617062e-05,,0.2,True,1,3,patient,2026-04-29T07:49:32
9,1.078097786368995,0.6446976128411838,0.531189948263119,0.4911266314893937,1.487627819900901,0.5445544554455446,0.5650871459694989,9.177439057064683e-05,,0.2,True,2,3,patient,2026-04-29T07:49:43
10,1.0586176473518898,0.6434016567613119,0.561111111111111,0.5343280520880745,1.3202508411941334,0.6237623762376238,0.5871459694989106,8.83022221559489e-05,,0.2,True,0,3,patient,2026-04-29T07:49:55
11,1.0109871327877045,0.677758295119684,0.617283950617284,0.5698616699971714,1.1681410313865914,0.6633663366336634,0.5906862745098039,8.43120818934367e-05,,0.2,True,0,3,patient,2026-04-29T07:50:07
12,0.9447486020367721,0.713010557445433,0.5474969474969476,0.5752973364084475,1.0823588601808816,0.7227722772277227,0.6034858387799565,7.985792958513931e-05,,0.2,True,0,3,patient,2026-04-29T07:50:19
13,0.9720636102659949,0.6955356114068628,0.5602240896358543,0.5750016625833619,1.0613569831120149,0.7128712871287128,0.6233660130718954,7.500000000000001e-05,,0.2,True,0,3,patient,2026-04-29T07:50:30
14,0.8427269633474022,0.7428575766262515,0.6228905597326649,0.576870532288489,1.091740620348593,0.7326732673267327,0.670751633986928,6.980398830195785e-05,,0.2,True,1,3,patient,2026-04-29T07:50:42
15,0.8265589218715141,0.7665465347310593,0.6641234535971378,0.6157460343218856,0.9683585415663003,0.7920792079207921,0.6808278867102396,6.434016163555452e-05,,0.2,True,0,3,patient,2026-04-29T07:50:54
16,0.8522590542661732,0.7579148526011901,0.7136505647680845,0.6668881926992958,0.9488708138769213,0.8118811881188119,0.72140522875817,5.868240888334653e-05,,0.2,True,0,3,patient,2026-04-29T07:51:05
17,0.8294360858613047,0.7603276892385827,0.6296296296296297,0.6691345493316173,0.9551944565833677,0.7623762376237624,0.653322440087146,5.29072414455238e-05,,0.2,True,0,3,patient,2026-04-29T07:51:17
18,0.7568895087159914,0.7915502744244819,0.7096043897010859,0.6842948613662667,0.9306401733223718,0.7623762376237624,0.6220043572984749,4.709275855447622e-05,,0.2,True,0,3,patient,2026-04-29T07:51:29
19,0.7724898673337082,0.7956794009217892,0.6215479149406241,0.6535939780904466,0.9414173498105154,0.7623762376237624,0.6451525054466232,4.13175911166535e-05,,0.2,True,0,3,patient,2026-04-29T07:51:40
20,0.7232908442102629,0.8069090397895464,0.6257080610021787,0.652286788547963,0.9385817742529716,0.7623762376237624,0.6220043572984749,3.565983836444549e-05,,0.2,True,1,3,patient,2026-04-29T07:51:51
