model_type,model_label,dataset,n_patients,accuracy,accuracy_ci_lo,accuracy_ci_hi,balanced_acc,balanced_acc_ci_lo,balanced_acc_ci_hi,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,macro_auc,macro_auc_ci_lo,macro_auc_ci_hi,f1_adeno,f1_adeno_ci_lo,f1_adeno_ci_hi,f1_smallcell,f1_smallcell_ci_lo,f1_smallcell_ci_hi,f1_squamous,f1_squamous_ci_lo,f1_squamous_ci_hi,auc_adeno,auc_adeno_ci_lo,auc_adeno_ci_hi,auc_smallcell,auc_smallcell_ci_lo,auc_smallcell_ci_hi,auc_squamous,auc_squamous_ci_lo,auc_squamous_ci_hi,test_timestamp
mil_resnet50,MIL ResNet-50,Lung-PET-CT-Dx (test),53,0.5660377358490566,0.4523584905660378,0.6792452830188679,0.5077972709551657,0.37134502923976603,0.6530458089668616,0.4495221027479092,0.3051092622776491,0.6069762137504073,0.7041768939865244,0.5701202346345123,0.8257076504122975,0.7096774193548387,0.5816795069337442,0.8183155080213903,0.25,0.0,0.6666666666666666,0.3888888888888889,0.24981060606060607,0.5142857142857142,0.7807017543859649,0.6368421052631579,0.8964912280701754,0.6702127659574468,0.41125886524822686,0.9114361702127659,0.6616161616161615,0.4646464646464647,0.8333964646464647,2026-04-28T23:14:48
mil_resnet50,MIL ResNet-50,BigLunge (test),46,0.2608695652173913,0.15217391304347827,0.391304347826087,0.2648809523809524,0.15178571428571427,0.38995535714285706,0.2621082621082621,0.144232158180258,0.3816600529100529,0.426438492063492,0.3103162202380952,0.553157242063492,0.3076923076923077,0.08333333333333333,0.5185185185185185,0.25641025641025644,0.1025,0.41046511627906956,0.2222222222222222,0.0,0.4444444444444444,0.4833333333333333,0.30828125,0.66875,0.4397321428571428,0.25,0.6339843749999999,0.35624999999999996,0.19781249999999997,0.53125,2026-04-29T12:03:21
mil_swin_tiny,MIL Swin-Tiny (RadImageNet),Lung-PET-CT-Dx (test),53,0.49056603773584906,0.3584905660377358,0.6226415094339622,0.4444444444444444,0.2884990253411306,0.6013645224171539,0.3836183756423039,0.2625021060061731,0.5185977296711446,0.7081520694062687,0.6140916914573129,0.8093346350779161,0.6440677966101696,0.5082627118644067,0.7762476679104476,0.15384615384615383,0.0,0.4444444444444444,0.3529411764705882,0.1875,0.5,0.7859649122807018,0.6508333333333334,0.9035087719298245,0.7021276595744681,0.5460992907801419,0.8582446808510638,0.6363636363636364,0.46458333333333335,0.8082070707070705,2026-04-29T17:02:50
mil_swin_tiny,MIL Swin-Tiny (RadImageNet),BigLunge (test),46,0.30434782608695654,0.1956521739130435,0.41304347826086957,0.3005952380952381,0.19047619047619047,0.40781249999999986,0.23074737141233306,0.13333333333333333,0.3276575046932544,0.44980158730158726,0.3221614583333333,0.573376736111111,0.43137254901960786,0.3017864311521477,0.5385416666666666,0.2608695652173913,0.0,0.48,0.0,0.0,0.0,0.48541666666666666,0.29984375,0.6813541666666666,0.4910714285714286,0.30803571428571425,0.6563058035714285,0.3729166666666667,0.21458333333333335,0.5416666666666666,2026-04-29T17:37:47
