epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,1.1016626599533805,0.33258267996464125,0.23600787751731148,0.23600787751731148,1.1027498236139313,0.32673267326732675,0.2657952069716776,1e-06,,0.2,True,0,3,patient,2026-04-29T07:56:17
2,1.0792244092143815,0.4183608379096344,0.4853119429590018,0.36065991023815663,1.0213253716476092,0.6237623762376238,0.534041394335512,3.4000000000000007e-05,,0.2,True,0,3,patient,2026-04-29T07:56:29
3,1.0045065209269524,0.5465472589904964,0.5283797729618164,0.4165665311460432,0.8958237944668486,0.6831683168316832,0.5917755991285403,6.700000000000002e-05,,0.2,True,0,3,patient,2026-04-29T07:56:45
4,0.887371244615522,0.6675522272150212,0.6353321113729596,0.549674609097926,0.8804807881362565,0.6831683168316832,0.6081154684095861,0.0001,,0.2,True,0,3,patient,2026-04-29T07:56:59
5,0.7950220529375405,0.7433389424649987,0.7050157444894287,0.6229092096080683,0.7847370664581997,0.8118811881188119,0.6900871459694988,9.966191788709716e-05,,0.2,True,0,3,patient,2026-04-29T07:57:14
6,0.7062766097229103,0.8125215292783204,0.7323535415390895,0.6909004658004926,0.8011908904286741,0.7722772277227723,0.7096949891067538,9.86522435289912e-05,,0.2,True,0,3,patient,2026-04-29T07:57:30
7,0.6680067882969462,0.8373338142830007,0.5857464607464608,0.6743719155916597,0.8428899413756742,0.7029702970297029,0.5574618736383442,9.698463103929544e-05,,0.2,True,0,3,patient,2026-04-29T07:57:46
8,0.6176440528240698,0.8661013057809885,0.5978120978120979,0.638637366699216,0.8409577972106351,0.7227722772277227,0.6116557734204794,9.468163201617062e-05,,0.2,True,1,3,patient,2026-04-29T07:57:58
9,0.6014411544491505,0.8851292362358402,0.5124730734486832,0.5653438773357472,0.8157279373125266,0.7425742574257426,0.4833877995642702,9.177439057064683e-05,,0.2,True,2,3,patient,2026-04-29T07:58:11
10,0.5769135295574007,0.9062812278166215,0.7153110047846889,0.6085320586818234,0.8227132877320734,0.7821782178217822,0.6149237472766885,8.83022221559489e-05,,0.2,True,3,3,patient,2026-04-29T07:58:23
