model_type,phase,n_epochs,first_epoch,last_epoch,peak_val_macro_f1_raw,peak_val_macro_f1_raw_epoch,peak_val_macro_f1_rolling,peak_val_macro_f1_rolling_epoch,first_timestamp,last_timestamp
efficientnet_b0_2d,dapt,20,1,20,0.6746031746031745,16,0.6619773835460111,18,2026-04-27T20:45:49,2026-04-27T20:50:05
efficientnet_b0_2d,finetune,27,1,27,0.37368776911853674,13,0.3651699063463769,17,2026-04-28T20:23:48,2026-04-28T21:19:39
resnet50_2d,dapt,20,1,20,0.8187134502923977,10,0.7785803347206857,12,2026-04-28T02:27:01,2026-04-28T03:46:53
resnet50_2d,finetune,17,1,17,0.3811391223155929,5,0.3811391223155929,7,2026-04-28T17:58:34,2026-04-28T18:01:24
densenet121_2d,dapt,20,1,20,0.7380116959064327,17,0.7325536062378167,19,2026-04-28T08:48:52,2026-04-28T08:53:36
densenet121_2d,finetune,11,1,11,0.4769921436588103,4,0.4509379509379509,1,2026-04-28T21:24:33,2026-04-28T21:26:17
swin_tiny_2d,dapt,20,1,20,0.747069355765008,6,0.6889303664665983,17,2026-04-28T08:54:40,2026-04-28T09:00:20
swin_tiny_2d,finetune,18,1,18,0.40280446287120375,8,0.3858650830987244,8,2026-04-28T21:26:52,2026-04-28T21:30:38
